"stock_id","brood_yr","stock","jurisdiction","region","ocean_region","sub_region","lat","lon","recruits","spawners","R_ocean_1","R_ocean_2","R_ocean_3","R_ocean_4","R_ocean_5","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","R2.5"
103,1961,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,28148,3675,0,26835,1313,0,0,0,0,0,0,0,0,26835,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1962,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,21327,3219,6,18822,2499,0,0,0,0,0,0,0,6,18822,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1963,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,214316,11468,28,204973,9315,0,0,0,0,0,0,0,28,204973,9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1964,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,27507,690,0,25416,2091,0,0,0,0,0,0,0,0,25416,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1965,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,17849,1170,50,16770,1029,0,0,0,0,0,0,0,50,16770,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1966,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,22249,1151,0,21196,1053,0,0,0,0,0,0,0,0,21196,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1967,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,206494,13991,124,193857,12513,0,0,0,0,0,0,0,124,193857,12513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1968,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,44642,1710,0,38492,6150,0,0,0,0,0,0,0,0,37393,6150,0,0,0,1099,0,0,0,0,0,0,0,0,0,0
103,1969,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,17211,1936,0,16003,1208,0,0,0,0,0,0,0,0,16003,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1970,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,16197,497,371,15826,0,0,0,0,0,0,0,0,371,15826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
